ROUTE,COUNTY,POST_MILE,YEAR,AM_DIR,AM_PEAK_VOL_PEAK_DIR,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
241,ORA,14.601,17,N,731,13.23,71.67,9.48,7,MON,MAY,S,644.00,11.79,70.85,8.35,17,TUE,NOV
241,ORA,20.077,17,S,2616,61.41,60.94,37.42,8,THU,OCT,S,2274.00,39.71,81.92,32.53,16,WED,OCT
241,ORA,27.378,17,S,3398,12.94,60.68,7.85,7,MON,SEP,S,3313.00,11.28,67.88,7.66,17,WED,MAY
241,ORA,32.541,16,S,5714,13.18,76.71,10.11,7,THU,FEB,N,3851.00,9.61,70.92,6.81,17,WED,APR
242,CC,0,15,N,3901,6.34,56.68,3.59,12,FRI,DEC,N,5116.00,8.68,54.28,4.71,16,FRI,DEC
242,CC,3.398,15,N,4961,5.07,85.45,4.33,5,WED,SEP,N,4945.00,6.78,63.73,4.32,17,MON,MAR
245,TUL,7.066,17,N,276,7.71,59.36,4.58,7,FRI,APR,N,338.00,9.99,56.15,5.61,15,FRI,OCT
245,TUL,7.066,17,N,252,9.2,52.94,4.87,12,SAT,OCT,N,276.00,9.53,55.98,5.33,16,THU,APR
245,TUL,11.999,17,N,49,10.71,74.24,7.95,12,SAT,OCT,N,55.00,12.5,71.43,8.93,18,SAT,JUL
245,TUL,11.999,17,S,75,10.72,66.96,7.18,11,SUN,JUL,S,64.00,9.38,65.31,6.12,17,SAT,OCT
246,SB,9.55,17,W,508,7.31,59,4.31,12,SAT,MAY,W,687.00,9.68,60.21,5.83,16,FRI,MAY
246,SB,9.56,16,E,468,7.02,66.38,4.66,6,TUE,AUG,W,632.00,9.71,64.82,6.29,16,TUE,MAY
246,SB,26.066,17,E,1045,7.29,57.54,4.2,8,FRI,MAY,W,1213.00,6.78,71.86,4.87,16,THU,AUG
246,SB,34.601,16,E,434,6.32,81.12,5.13,11,TUE,SEP,E,526.00,8.31,74.82,6.21,17,SAT,SEP
253,MEN,17.18,17,E,178,9.09,63.12,5.74,11,SAT,SEP,W,216.00,9.84,70.82,6.97,17,SUN,SEP
254,HUM,16.84,17,N,88,19.08,68.75,13.11,11,WED,AUG,N,89.00,20.12,65.93,13.26,14,MON,MAY
255,HUM,2,17,S,478,8.77,75.28,6.6,12,SAT,FEB,S,564.00,10.8,72.12,7.79,15,MON,MAR
255,HUM,8.75,17,S,830,8.87,57.72,5.12,12,MON,DEC,S,984.00,11.05,54.94,6.07,17,THU,DEC
261,ORA,0,15,S,4803,8.25,81.84,6.75,8,FRI,SEP,N,5606.00,10.31,76.46,7.88,17,FRI,OCT
265,SIS,20.328,17,S,90,10.09,52.02,5.25,12,THU,SEP,N,101.00,10.73,54.89,5.89,14,FRI,AUG
266,MNO,0,17,N,38,21.5,60.32,12.97,12,THU,OCT,N,42.00,19.45,73.68,14.33,13,THU,JUL
266,MNO,4.3,17,N,19,16.67,63.33,10.56,12,WED,OCT,N,23.00,17.78,71.88,12.78,16,FRI,AUG
267,NEV,1.419,16,E,955,10.48,56.95,5.97,11,FRI,JUL,W,1082.00,10.66,63.42,6.76,16,MON,JUL
267,NEV,1.419,16,E,805,10.18,56.25,5.72,11,SAT,JUL,W,1045.00,12.11,61.36,7.43,16,FRI,JUL
269,KIN,0,17,S,207,12.18,83.81,10.21,5,FRI,SEP,S,113.00,9.47,58.85,5.57,17,MON,SEP
