DI,RTE,CO,PRE,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
11,005,SD,R,22.262,801,B,17,N,8741,7.150,54.690,3.910,7,WED,JUN,S,"9,288",7.810,53.190,4.150,15,FRI,DEC
11,005,SD,R,25.947,802,B,17,N,9558,7.670,58.880,4.510,7,THU,JUL,S,"11,195",8.430,62.740,5.290,15,WED,MAY
11,005,SD,R,30.682,803,B,17,S,5908,7.550,56.230,4.250,8,MON,JUN,N,"6,059",8.000,54.440,4.350,15,THU,OCT
11,005,SD,R,30.682,502,A,17,S,8328,7.450,51.590,3.850,8,THU,MAY,N,"8,985",7.290,56.890,4.150,15,TUE,FEB
11,005,SD,R,36.266,898,A,17,S,9158,6.990,54.860,3.830,8,TUE,APR,N,"8,565",6.810,52.680,3.590,14,WED,NOV
11,005,SD,R,49.278,904,B,17,N,12034,7.750,73.480,5.690,5,WED,AUG,N,"9,922",7.050,66.590,4.690,19,FRI,SEP
11,005,SD,R,51.201,905,A,17,N,7603,6.980,51.760,3.610,10,SAT,JUN,N,"7,411",6.520,53.960,3.520,17,THU,JUN
11,005,SD,R,52.834,907,O,17,S,7454,6.970,53.000,3.690,10,SUN,AUG,S,"6,936",6.190,55.530,3.430,18,SUN,MAY
11,005,SD,R,53.932,906,B,17,N,6602,6.820,55.780,3.800,10,MON,SEP,S,"6,379",6.630,55.430,3.680,16,FRI,MAY
11,005,SD,R,54.390,954,A,17,N,6030,7.650,54.530,4.170,11,SUN,AUG,N,"5,496",7.370,51.590,3.800,13,SUN,JUN
12,005,ORA,,0.483,401,O,16,S,5886,7.630,54.800,4.180,12,SAT,FEB,N,"5,619",6.680,59.800,3.990,21,SUN,OCT
12,005,ORA,R,24.999,900,O,17,S,10653,6.990,53.850,3.770,8,WED,JAN,S,"10,887",6.850,56.170,3.850,17,TUE,OCT
12,005,ORA,,30.263,905,A,16,N,12681,6.720,55.610,3.740,7,TUE,MAY,S,"11,391",6.070,55.320,3.360,16,MON,MAY
12,005,ORA,,30.263,904,B,16,N,11223,6.930,57.740,4.000,7,WED,OCT,S,"9,871",5.700,61.780,3.520,17,THU,APR
12,005,ORA,,33.088,906,A,16,N,12558,5.810,58.000,3.370,7,THU,OCT,N,"12,093",6.050,53.640,3.250,16,MON,JAN
07,005,LA,,0.700,475,A,15,S,5444,5.920,53.780,3.180,6,WED,NOV,S,"5,304",5.610,55.310,3.100,17,MON,OCT
